,Unnamed: 0.1,Unnamed: 0,text,label
1755,5755,6206,"attal's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it's a wonder that he couldn't have brought something fresher to the proceedings simply by accident .",0
2330,2771,7036,"the reason i found myself finally unmoved by this film , which is immaculately produced and has serious things to say , is that it comes across rather too plainly as allegory .",0
1606,2910,5257,"ritchie's film is easier to swallow than wertmuller's polemical allegory , but it's self-defeatingly decorous .",0
2844,6332,4759,"the plot has a number of holes , and at times it's simply baffling .",0
1308,3301,6636,"an easy watch , except for the annoying demeanour of its lead character .",0
2013,5246,4483,"i walked away not really know who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" wanted and quite honestly , i didn't care .",0
362,1850,4239,sometimes makes less sense than the bruckheimeresque american action flicks it emulates .,0
979,2086,6134,the film is way too full of itself ; it's stuffy and pretentious in a give-me-an-oscar kind of way .,0
2307,902,5581,"at a time when we've learned the hard way just how complex international terrorism is , collateral damage paints an absurdly simplistic picture .",0
1085,443,4599,its juxtaposition of overwrought existentialism and stomach-churning gore will have you forever on the verge of either cracking up or throwing up .,0
2280,5096,3847,the film's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency . it's just filler .,0
1914,2204,6295,more tiring than anything .,0
1275,1288,5317,"chen films the resolutely downbeat smokers only with every indulgent , indie trick in the book .",0
1974,2109,7076,"so routine , familiar and predictable , it raises the possibility that it wrote itself as a newly automated final draft computer program .",0
1083,2817,5556,avary's film never quite emerges from the shadow of ellis' book .,0
121,428,6931,with spy kids 2 : the island of lost dreams writer/director/producer robert rodriguez has cobbled together a film that feels like a sugar high gone awry .,0
1150,690,4580,koepp's screenplay isn't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .,0
2023,1413,6421,fluffy neo-noir hiding behind cutesy film references .,0
1741,6363,5423,i watched the brainless insanity of no such thing with mounting disbelief .,0
2242,2806,4779,"'carente de imaginación , mal dirigida , peor actuada y sin un ápice de romance , es una verdadera pérdida de tiempo y dinero'",0
2452,1333,5282,"rob schneider's infantile cross-dressing routines fill the hot chick , the latest gimmick from this unimaginative comedian .",0
1788,3380,4017,the only thing in pauline and paulette that you haven't seen before is a scene featuring a football field-sized oriental rug crafted out of millions of vibrant flowers .,0
1093,3047,5397,. . . hokey art house pretension .,0
632,127,3651,"viewers are asked so often to suspend belief that were it not for holm's performance , the film would be a total washout .",0
1116,279,6899,it's surprisingly bland despite the heavy doses of weird performances and direction .,0
498,981,5776,"interminably bleak , to say nothing of boring .",0
1667,795,5960,"it's best to avoid imprisonment with the dull , nerdy folks that inhabit cherish .",0
1998,2761,5895,the plot convolutions ultimately add up to nothing more than jerking the audience's chain .,0
37,5438,4821,"what little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else .",0
1513,1655,4423,"a 93-minute condensation of a 26-episode tv series , with all of the pitfalls of such you'd expect .",0
2700,5963,5320,feels like a cold old man going through the motions .,0
3033,681,6979,"high crimes is a cinematic misdemeanor , a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd .",0
410,4069,5241,puts on airs of a hal hartley wannabe film -- without the vital comic ingredient of the hilarious writer-director himself .,0
987,6047,7023,"if h . g . wells had a time machine and could take a look at his kin's reworked version , what would he say ? 'it looks good , sonny , but you missed the point . '",0
2329,1535,6789,feels strangely hollow at its emotional core .,0
940,3347,6801,"spirit is a visual treat , and it takes chances that are bold by studio standards , but it lacks a strong narrative .",0
1067,3665,6059,there's not one decent performance from the cast and not one clever line of dialogue .,0
2069,6131,5437,attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience .,0
74,1496,5072,"what will , most likely , turn out to be the most repellent movie of 2002 .",0
66,2757,6698,the result is an 'action film' mired in stasis .,0
2088,5674,4899,a movie far more cynical and lazy than anything a fictitious charlie kaufman might object to .,0
1167,786,5599,"though certainly original in form , altar boys requires a taste for swamp thing-type animation , doubled with a deafening score .",0
2186,3806,5665,"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .",0
1195,230,4294,"as is often the case with ambitious , eager first-time filmmakers , mr . murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold .",0
2053,2871,4988,"a free-for-all of half-baked thoughts , clumsily used visual tricks and self-indulgent actor moments .",0
1407,4247,4497,"instead of hiding pinocchio from critics , miramax should have hidden it from everyone .",0
1382,5312,5272,rainy days and movies about the disintegration of families always get me down .,0
1076,5790,4260,"so genial is the conceit , this is one of those rare pictures that you root for throughout , dearly hoping that the rich promise of the script will be realized on the screen . it never is , not fully .",0
309,329,6767,"one-sided documentary offers simplistic explanations to a very complex situation . . . . stylistically , the movie is a disaster .",0
1141,5932,3839,too daft by half . . . but supremely good natured .,0
1390,5133,4834,"the film is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .",0
2914,277,3791,calculated swill .,0
1408,4119,4671,"the 70-year-old godard has become , to judge from in praise of love , the sort of bitter old crank who sits behind his light meter and harangues the supposed injustices of the artistic world-at-large without doing all that much to correct them .",0
192,3884,7077,this isn't even madonna's swept away . this is her blue lagoon .,0
258,5034,7061,"bigelow offers some flashy twists and turns that occasionally fortify this turgid fable . but for the most part , the weight of water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness .",0
1916,1117,5944,one groan-inducing familiarity begets another .,0
1282,3318,7100,the movie is too amateurishly square to make the most of its own ironic implications .,0
2941,6106,6881,it's depressing to see how far herzog has fallen .,0
2487,706,3765,"here's a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior .",0
3097,4147,4464,"when the plot kicks in , the film loses credibility .",0
1848,6351,4179,"it's a brilliant , honest performance by nicholson , but the film is an agonizing bore except when the fantastic kathy bates turns up . bravado kathy !",0
824,3340,3921,most folks with a real stake in the american sexual landscape will find it either moderately amusing or just plain irrelevant .,0
961,4168,5994,may offend viewers not amused by the sick sense of humor .,0
1995,1347,4529,an encouraging effort from mccrudden,0
2160,4360,5768,the film's most improbable feat ? it didn't go straight to video .,0
2834,1330,6874,"a zombie movie in every sense of the word--mindless , lifeless , meandering , loud , painful , obnoxious .",0
1634,3389,6769,the film itself is about something very interesting and odd that would probably work better as a real documentary without the insinuation of mediocre acting or a fairly trite narrative .,0
2890,1054,5298,ear-splitting exercise in formula crash-and-bash action .,0
1559,4158,6131,"well-meaning to a fault , antwone fisher manages the dubious feat of turning one man's triumph of will into everyman's romance comedy .",0
909,3647,6158,a movie that seems motivated more by a desire to match mortarboards with dead poets society and good will hunting than by its own story .,0
1727,5672,5502,so-so entertainment .,0
1960,5879,5325,"instead of accurately accounting a terrible true story , the film's more determined to become the next texas chainsaw massacre . but what about the countless other people who'd merely like to watch a solid tale about a universally interesting soul ?",0
550,51,5438,"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours . . . a cacophony of pretentious , meaningless prattle .",0
1735,2301,6549,a rambling ensemble piece with loosely connected characters and plots that never quite gel .,0
1489,4788,6013,"i would have preferred a transfer down the hall to mr . holland's class for the music , or to robin williams's lecture so i could listen to a teacher with humor , passion , and verve .",0
2429,1618,3763,". . . expands the horizons of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape .",0
1969,4797,6754,"the overall vibe is druggy and self-indulgent , like a spring-break orgy for pretentious arts majors .",0
3106,4073,5408,"an unremarkable , modern action/comedy buddy movie whose only nod to nostalgia is in the title .",0
447,2569,5431,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it .,0
2161,3009,7065,"mild , meandering teen flick .",0
2541,1302,4472,"deliberately and devotedly constructed , far from heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",0
1204,1396,6914,new best friend's playboy-mansion presentation of college life is laugh-out-loud ludicrous .,0
2333,2096,6139,tiresomely derivative and hammily acted .,0
1888,1611,5067,"this tale has been told and retold ; the races and rackets change , but the song remains the same .",0
794,4566,3726,"about amy's cuteness , amy's career success ( she's a best-selling writer of self-help books who can't help herself ) , and amy's neuroses when it comes to men .",0
2025,4713,6665,"it's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one .",0
3,5698,3886,"full frontal had no effect and elicited no sympathies for any of the characters . by that measure , it is a failure .",0
2190,4840,6471,zigzag might have been richer and more observant if it were less densely plotted .,0
1154,4468,6457,"somehow we're meant to buy that this doting mother would shun her kids , travel to one of the most dangerous parts of the world , don fatigues and become g . i . jane .",0
380,226,5664,a incompetência de marcus adams como roteirista só é superada por sua péssima direção .,0
470,2911,4031,may cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists .,0
567,5675,5735,a well-acted movie that simply doesn't gel .,0
2542,5871,4486,we have an actor who is great fun to watch performing in a film that is only mildly diverting .,0
2953,6388,3754,"not a movie but a live-action agitprop cartoon so shameless and coarse , it's almost funny .",0
1654,4534,6443,includes too much obvious padding .,0
1316,2155,5014,"hey everybody , wanna watch a movie in which a guy dressed as a children's party clown gets violently gang-raped ? i didn't think so .",0
2421,2036,4026,"the problem with this film is that it's forced to make its characters idiots in order to advance the plot . had anyone here done anything remotely intelligent , we all could have stopped watching long ago .",0
2958,5930,5898,"if shayamalan wanted to tell a story about a man who loses his faith , why didn't he just do it , instead of using bad sci-fi as window dressing ?",0
923,734,5545,"this rather superficial arthouse middle-brow film knows how to please a crowd , and that's about all it does well .",0
25,1210,4995,"scooby-doo doesn't know if it wants to be a retro-refitting exercise in campy recall for older fans or a silly , nickelodeon-esque kiddie flick .",0
3092,1516,5507,"too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay .",0
1771,6149,5500,"neither as scary-funny as tremors nor demented-funny as starship troopers , the movie isn't tough to take as long as you've paid a matinee price .",0
2235,4233,4972,like watching a dress rehearsal the week before the show goes up : everything's in place but something's just a little off-kilter .,0
282,5081,4040,"human nature is a goofball movie , in the way that malkovich was , but it tries too hard .",0
1240,2987,4682,"eddie murphy and owen wilson have a cute partnership in i spy , but the movie around them is so often nearly nothing that their charm doesn't do a load of good .",0
2575,6110,4348,made with no discernible craft and monstrously sanctimonious in dealing with childhood loss .,0
2816,284,5196,"at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears thin .",0
520,4379,5767,"what's next ? rob schneider , dana carvey and sarah michelle gellar in the philadelphia story ? david spade as citizen kane ?",0
1491,2661,7092,"this bond film goes off the beaten path , not necessarily for the better .",0
166,4438,3905,there's something fishy about a seasonal holiday kids' movie . . . that derives its moment of most convincing emotional gravity from a scene where santa gives gifts to grownups .,0
3110,1777,5972,"eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you don't care who fires the winning shot .",0
346,20,4398,"while it may not add up to the sum of its parts , holofcener's film offers just enough insight to keep it from being simpleminded , and the ensemble cast is engaging enough to keep you from shifting in your chair too often .",0
698,1041,3948,contrived pastiche of caper clichés .,0
2173,5062,6126,the movie is too impressed with its own solemn insights to work up much entertainment value .,0
2099,5641,5568,all of the filmmakers' calculations can't rescue brown sugar from the curse of blandness .,0
3045,5840,4160,"writer/director burr steers emphasizes the q in quirky , with mixed results .",0
2352,2564,6817,"the entire film is one big excuse to play one lewd scene after another . about half of them are funny , a few are sexy and none are useful in telling the story , which is paper-thin and decidedly unoriginal .",0
285,4953,6036,"i guess it just goes to show that if you give a filmmaker an unlimited amount of phony blood , nothing good can happen .",0
2447,3725,5400,comes . . . uncomfortably close to coasting in the treads of the bicycle thief .,0
916,6119,3838,it is one more celluloid testimonial to the cruelties experienced by southern blacks as distilled through a caucasian perspective .,0
863,200,6401,"egoyan's movie is too complicated to sustain involvement , and , if you'll excuse a little critical heresy , too intellectually ambitious .",0
1547,3053,6403,""" the road paved with good intentions leads to the video store """,0
619,1547,6677,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .",0
14,3965,6632,grant isn't cary and bullock isn't katherine .,0
2465,3672,4538,feels too formulaic and too familiar to produce the transgressive thrills of early underground work .,0
825,2734,5687,"there ought to be a directing license , so that ed burns can have his revoked .",0
2278,296,5280,"the movie attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago , and its cutesy reliance on movie-specific cliches isn't exactly endearing .",0
1793,4804,6003,i suspect that there are more interesting ways of dealing with the subject .,0
1543,4698,5637,"feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot .",0
2530,4187,6631,it made me want to wrench my eyes out of my head and toss them at the screen .,0
722,4055,5793,"so muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker's characteristic style .",0
730,2499,5306,a reworking of die hard and cliffhanger but it's nowhere near as exciting as either .,0
557,1035,6876,"a gushy episode of "" m * a * s * h "" only this time from an asian perspective .",0
2463,3742,5106,"this is as lax and limp a comedy as i've seen in a while , a meander through worn-out material .",0
1458,3140,5955,"it's all very cute , though not terribly funny if you're more than six years old .",0
2765,4042,4016,"it has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material .",0
2981,4019,5380,the cartoon that isn't really good enough to be on afternoon tv is now a movie that isn't really good enough to be in theaters .,0
1187,3412,5175,simone is not a bad film . it just doesn't have anything really interesting to say .,0
1461,4366,4421,the holiday message of the 37-minute santa vs . the snowman leaves a lot to be desired .,0
177,3394,5619,"a simpler , leaner treatment would have been preferable ; after all , being about nothing is sometimes funnier than being about something .",0
1758,4105,5085,"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson . . . and puke up something like rose red ?",0
2154,4179,4813,it's a road-trip drama with too many wrong turns .,0
835,2297,7064,"while the new film is much more eye-catching than its blood-drenched stephen norrington-directed predecessor , the new script by the returning david s . goyer is much sillier .",0
5,1443,4293,"the story is so light and sugary that were it a macy's thanksgiving day parade balloon , extra heavy-duty ropes would be needed to keep it from floating away .",0
976,5167,6288,gussied up with so many distracting special effects and visual party tricks that it's not clear whether we're supposed to shriek or laugh .,0
1644,903,5242,a generic international version of a typical american horror film .,0
1535,719,5115,"4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly .",0
1871,1725,4219,"contains all the substance of a twinkie -- easy to swallow , but scarcely nourishing .",0
1205,6077,6473,no way i can believe this load of junk .,0
2655,1763,4508,"producer john penotti surveyed high school students . . . and came back with the astonishing revelation that "" they wanted to see something that didn't talk down to them . "" ignoring that , he made swimfan anyway",0
2651,1673,4274,it's sort of a 21st century morality play with a latino hip hop beat . but the second half of the movie really goes downhill .,0
977,3030,5900,"unless there are zoning ordinances to protect your community from the dullest science fiction , impostor is opening today at a theater near you .",0
645,142,6292,"rather quickly , the film falls into a soothing formula of brotherly conflict and reconciliation .",0
2845,5212,5677,the film is flat .,0
63,1994,6485,even after 90 minutes of playing opposite each other bullock and grant still look ill at ease sharing the same scene . what should have been a painless time-killer becomes instead a grating endurance test .,0
2019,5090,4427,first-time director joão pedro rodrigues' unwillingness to define his hero's background or motivations becomes more and more frustrating as the film goes on .,0
2193,5423,4297,this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,0
963,5218,6683,low rent from frame one .,0
556,3484,4552,a grand fart coming from a director beginning to resemble someone's crazy french grandfather .,0
3930,5474,981,you have enough finely tuned acting to compensate for the movie's failings .,1
3801,5781,2840,so original in its base concept that you cannot help but get caught up .,1
3786,4576,637,"has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they're not interested .",1
3701,2051,2140,"sweetly sexy , funny and touching .",1
3424,6172,1440,"too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than pink floyd tickets .",1
3495,1629,553,"isn't quite the equal of woo's best earlier work , but it's easily his finest american film . . . comes close to recapturing the brilliance of his hong kong films .",1
3666,1070,3397,"like the best of godard's movies . . . it is visually ravishing , penetrating , impenetrable .",1
3914,1418,121,"if you're not totally weirded- out by the notion of cinema as community-therapy spectacle , quitting hits home with disorienting force .",1
3399,828,469,"it's an unusual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes .",1
3220,3961,1357,"while it regards 1967 as the key turning point of the 20th century , and returns again and again to images of dissidents in the streets , it's alarmingly current .",1
3874,5353,1409,it's a bit disappointing that it only manages to be decent instead of dead brilliant .,1
3670,3578,1927,"although some viewers will not be able to stomach so much tongue-in-cheek weirdness , those who do will have found a cult favorite to enjoy for a lifetime .",1
3717,3642,2364,"although mainstream american movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel .",1
3722,5831,245,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1
3637,1192,1525,the sword fighting is well done and auteuil is a goofy pleasure .,1
3847,3901,923,"the subtitled costume drama is set in a remote african empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow .",1
3549,1502,1238,"the byplay and bickering between the now spy-savvy siblings , carmen ( vega ) and juni ( sabara ) cortez , anchor the film in a very real and amusing give-and-take .",1
3599,4402,882,very psychoanalytical -- provocatively so -- and also refreshingly literary .,1
3708,6349,474,"the film's messages of tolerance and diversity aren't particularly original , but one can't help but be drawn in by the sympathetic characters .",1
3602,6076,966,the movie is one of the best examples of artful large format filmmaking you are likely to see anytime soon .,1
3398,4434,358,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .",1
3978,2536,624,"even if invincible is not quite the career peak that the pianist is for roman polanski , it demonstrates that werner herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken .",1
3789,5219,2361,it's an often-cute film but either needs more substance to fill the time or some judicious editing .,1
3263,1097,1496,two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,1
3454,4727,2624,highly recommended as an engrossing story about a horrifying historical event and the elements which contributed to it .,1
3932,5995,1032,"you may leave the theater with more questions than answers , but darned if your toes won't still be tapping .",1
3313,4327,1174,the ingenuity that parker displays in freshening the play is almost in a class with that of wilde himself .,1
3416,5630,1314,"instead of a hyperbolic beat-charged urban western , it's an unpretentious , sociologically pointed slice of life .",1
3702,4493,1127,"despite its shortcomings , girls can't swim represents an engaging and intimate first feature by a talented director to watch , and it's a worthy entry in the french coming-of-age genre .",1
3344,5896,570,"baran isn't the most transporting or gripping film from iran -- or , indeed , by its director -- but it's a worthy companion to the many fine , focused films emerging from that most surprising of nations .",1
3818,467,2281,"drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",1
3805,5584,1347,…an adorably whimsical comedy that deserves more than a passing twinkle .,1
3626,59,1006,"with youthful high spirits , tautou remains captivating throughout michele's religious and romantic quests , and she is backed by a likable cast .",1
3244,6130,1299,"for those in search of something different , wendigo is a genuinely bone-chilling tale .",1
3816,3109,3323,"lasker's canny , meditative script distances sex and love , as byron and luther . . . realize they can't get no satisfaction without the latter .",1
3210,6125,198,"watching these two actors play against each other so intensely , but with restraint , is a treat .",1
3199,4485,2405,writer-director juan carlos fresnadillo makes a feature debut that is fully formed and remarkably assured .,1
3677,2922,3445,"a smart , steamy mix of road movie , coming-of-age story and political satire .",1
3780,454,3057,the writing is clever and the cast is appealing .,1
